loc_rowid,toi,tid,tfopwg_disp
494,1416.01,158025009,CP
495,1417.01,164173105,CP
496,1418.01,224600500,FA
497,1419.01,311035838,KP
498,142.01,425934411,PC
499,1420.01,321857016,CP
500,1421.01,329277372,FP
501,1422.01,333473672,CP
502,1423.01,346418409,FP
503,1424.01,418959198,FP
504,1425.01,350132371,APC
505,1426.01,128501004,FP
506,1427.01,2041563029,FP
507,1428.01,377304435,FP
508,1429.01,138968089,FP
509,143.01,25375553,KP
510,1430.01,293954617,CP
511,1431.01,375506058,CP
512,1432.01,256783784,PC
513,1433.01,13684720,APC
514,1434.01,138588540,PC
515,1435.01,153976959,PC
516,1436.01,154383539,PC
517,1437.01,198356533,CP
518,1438.01,229650439,CP
519,1438.02,229650439,CP
520,1439.01,232982558,CP
521,144.01,261136679,CP
522,1440.01,233617847,PC
523,1440.02,233617847,PC
524,1441.01,233951353,PC
525,1442.01,235683377,CP
526,1443.01,237232044,CP
527,1444.01,258514800,CP
528,1445.01,259172391,PC
529,1445.02,259172391,PC
530,1446.01,294471966,PC
531,1446.02,294471966,PC
532,1447.01,298073824,FA
533,1448.01,343628284,CP
534,1449.01,356158613,FA
535,1449.02,356158613,PC
536,145.01,265612438,PC
537,1450.01,377293776,CP
538,1451.01,417931607,CP
539,1452.01,420112589,CP
540,1453.01,198390247,CP
541,1453.02,198390247,CP
542,1454.01,294179385,PC
543,1455.01,387259626,APC
544,1456.01,199376584,CP
545,1457.01,176860064,APC
546,1458.01,191284318,KP
547,1459.01,16920150,FA
548,146.01,355636844,FP
549,1460.01,17005768,FP
550,1461.01,44631965,APC
551,1462.01,188768068,CP
552,1463.01,190998418,KP
553,1464.01,229944666,PC
554,1465.01,236887394,KP
555,1466.01,237086564,PC
556,1467.01,240968774,CP
557,1468.01,243185500,CP
558,1468.02,243185500,CP
559,1469.01,283722336,KP
560,1469.02,283722336,KP
561,147.01,220435095,FP
562,1470.01,284441182,CP
563,1471.01,306263608,CP
564,1471.02,306263608,CP
565,1472.01,306955329,CP
566,1473.01,352413427,CP
567,1474.01,427654774,FP
568,1475.01,431514478,PC
569,1476.01,432549364,KP
570,1477.01,240681314,KP
571,1478.01,409794137,CP
572,1479.01,421308357,FP
573,148.01,393940766,CP
574,1480.01,335483600,FP
575,1481.01,197650870,FP
576,1482.01,252616865,PC
577,1483.01,452803785,FP
578,1484.01,67309890,FP
579,1485.01,377191482,FA
580,1486.01,233541860,FP
581,1487.01,459978312,FA
582,1488.01,198457103,FA
583,1489.01,219751469,FA
584,149.01,260985861,PC
585,1490.01,283474780,APC
586,1491.01,53875855,PC
587,1492.01,354594208,FP
588,1493.01,15692883,CP
589,1494.01,411608801,CP
590,1495.01,431148743,FP
591,1496.01,384045439,FP
592,1497.01,371673488,FP
593,1498.01,316402246,FP
594,1499.01,414870287,FP
595,150.01,271893367,CP
596,1500.01,377420580,FP
597,1501.01,329145325,FP
598,1502.01,410528770,FP
599,1503.01,428065977,FP
600,1504.01,326114850,FP
601,1505.01,331034236,FP
602,1506.01,64836837,FP
603,1507.01,430677414,FP
604,1508.01,415741431,FP
605,1509.01,272828463,FP
606,151.01,382302241,FP
607,1510.01,377739433,FP
608,1511.01,376682699,FP
609,1512.01,434718964,FP
610,1513.01,269509393,FP
611,1514.01,270238522,FP
612,1515.01,470709084,FP
613,1516.01,376637093,CP
614,1517.01,455962313,FP
615,1518.01,427761355,CP
616,1519.01,272049972,FP
617,152.01,403287048,FP
618,1520.01,269238073,FP
619,1521.01,366074069,FP
620,1522.01,367102581,FP
621,1523.01,387413037,FP
622,1524.01,314338017,FP
623,1525.01,276380902,FP
624,1526.01,313761775,FP
625,1527.01,202375913,PC
626,1528.01,285543785,APC
627,1529.01,312259170,FP
628,153.01,231081369,APC
629,1530.01,312469860,FP
